File: ds2-linux
Build ID: 3a9eca411e2450065abaf1942fea5d6637aca50b
Type: cpu
Time: 2026-03-02 16:32:23 CST
Duration: 18.99s, Total samples = 410ms ( 2.16%)
Showing nodes accounting for 410ms, 100% of 410ms total
      flat  flat%   sum%        cum   cum%
      10ms  2.44% 68.29%       10ms  2.44%  github.com/clipperhouse/uax29/v2/graphemes.lookupValue (inline)
         0     0% 68.29%       10ms  2.44%  github.com/clipperhouse/uax29/v2/graphemes.lookup[go.shape.string]
         0     0% 68.29%       10ms  2.44%  github.com/clipperhouse/uax29/v2/graphemes.splitFunc[go.shape.string]
         0     0% 68.29%       10ms  2.44%  github.com/go-git/go-billy/v5/helper/chroot.(*ChrootHelper).Stat
         0     0% 68.29%       10ms  2.44%  github.com/go-git/go-billy/v5/helper/chroot.newFile
         0     0% 68.29%       10ms  2.44%  github.com/go-git/go-billy/v5/osfs.(*ChrootOS).Open
         0     0% 68.29%       10ms  2.44%  github.com/go-git/go-billy/v5/osfs.(*ChrootOS).OpenFile (inline)
      10ms  2.44% 70.73%       10ms  2.44%  github.com/go-git/go-billy/v5/osfs.(*ChrootOS).Stat
         0     0% 70.73%       10ms  2.44%  github.com/go-git/go-billy/v5/osfs.openFile
         0     0% 70.73%       10ms  2.44%  io.WriteString
         0     0% 70.73%       10ms  2.44%  net/http.(*persistConn).addTLS.func2
         0     0% 70.73%       10ms  2.44%  os.OpenFile
      10ms  2.44% 73.17%       10ms  2.44%  os.openFileNolog
      10ms  2.44% 75.61%       10ms  2.44%  path/filepath.Rel
         0     0% 75.61%       10ms  2.44%  regexp.(*Regexp).ReplaceAllStringFunc.func1
         0     0% 75.61%       10ms  2.44%  regexp.(*Regexp).backtrack
         0     0% 75.61%       10ms  2.44%  regexp.(*Regexp).doExecute
      10ms  2.44% 78.05%       10ms  2.44%  regexp.(*Regexp).tryBacktrack
      10ms  2.44% 80.49%       10ms  2.44%  regexp/syntax.(*parser).checkLimits
      10ms  2.44% 82.93%       10ms  2.44%  runtime.(*mheap).allocNeedsZero
         0     0% 82.93%       10ms  2.44%  runtime.(*mheap).initSpan
      10ms  2.44% 85.37%       10ms  2.44%  runtime.(*mspan).nextFreeIndex
         0     0% 85.37%       10ms  2.44%  runtime.(*pageAlloc).allocToCache
      10ms  2.44% 87.80%       10ms  2.44%  runtime.(*pageAlloc).find
      10ms  2.44% 90.24%       10ms  2.44%  runtime.bool2int (inline)
         0     0% 90.24%       10ms  2.44%  runtime.futexsleep
         0     0% 90.24%       10ms  2.44%  runtime.futexwakeup
         0     0% 90.24%       10ms  2.44%  runtime.growslice
      10ms  2.44% 92.68%       10ms  2.44%  runtime.heapArenaOf (inline)
         0     0% 92.68%       10ms  2.44%  runtime.mPark (inline)
         0     0% 92.68%       10ms  2.44%  runtime.makeSpanClass (inline)
         0     0% 92.68%       10ms  2.44%  runtime.mallocgcSmallScanNoHeader
         0     0% 92.68%       10ms  2.44%  runtime.mallocgcTiny
         0     0% 92.68%       10ms  2.44%  runtime.markroot
         0     0% 92.68%       10ms  2.44%  runtime.markrootBlock
         0     0% 92.68%       10ms  2.44%  runtime.notesleep
         0     0% 92.68%       10ms  2.44%  runtime.notewakeup
      10ms  2.44% 95.12%       10ms  2.44%  runtime.pMask.set (inline)
         0     0% 95.12%       10ms  2.44%  runtime.pidleget
         0     0% 95.12%       10ms  2.44%  runtime.resetspinning
         0     0% 95.12%       10ms  2.44%  runtime.scanObjectsSmall
         0     0% 95.12%       10ms  2.44%  runtime.scanSpan
         0     0% 95.12%       10ms  2.44%  runtime.scanblock
         0     0% 95.12%       10ms  2.44%  runtime.startm
         0     0% 95.12%       10ms  2.44%  runtime.stopm
      10ms  2.44% 97.56%       10ms  2.44%  runtime.typePointers.next
         0     0% 97.56%       10ms  2.44%  runtime.wakep
         0     0% 97.56%       10ms  2.44%  sync.(*Once).Do (inline)
         0     0% 97.56%       10ms  2.44%  sync.(*Once).doSlow
         0     0% 97.56%       10ms  2.44%  time.Parse
      10ms  2.44%   100%       10ms  2.44%  time.parse
         0     0%   100%       10ms  2.44%  vendor/golang.org/x/crypto/cryptobyte.(*String).ReadASN1UTCTime
